                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.94871,                0.52529,                0.88086,                0.80087,                0.63789,                0.70339,                0.41819,                 1.1626,                0.63988,                0.92838,              0.0093684,              0.0093684,              0.0093684
                     97,                0.94673,                0.52419,                0.88093,                0.81399,                0.64896,                0.69659,                0.41666,                 1.1684,                0.62971,                0.93633,              0.0093617,              0.0093617,              0.0093617
                     98,                0.93501,                0.52067,                0.88008,                0.80109,                0.64234,                0.70792,                0.42035,                 1.1632,                0.62222,                0.92966,              0.0093551,              0.0093551,              0.0093551
                     99,                 0.9387,                0.52062,                0.87931,                0.81806,                0.65081,                0.71338,                0.42229,                 1.1729,                0.63344,                0.93277,              0.0093489,              0.0093489,              0.0093489
                    100,                0.93757,                 0.5191,                0.87855,                0.82119,                  0.642,                 0.7116,                0.42348,                 1.1601,                0.62478,                0.93297,              0.0093422,              0.0093422,              0.0093422
                    101,                0.94482,                0.52113,                0.88018,                0.80149,                0.64748,                0.71356,                0.42249,                 1.1621,                0.62187,                 0.9289,              0.0093356,              0.0093356,              0.0093356
                    102,                0.93493,                0.52012,                0.87751,                0.82439,                0.64156,                0.71765,                0.42962,                 1.1643,                0.62663,                0.93133,              0.0093289,              0.0093289,              0.0093289
                    103,                0.93189,                0.51458,                0.87672,                0.78498,                0.65871,                0.71745,                0.42708,                 1.1667,                0.62994,                0.93239,              0.0093223,              0.0093223,              0.0093223
                    104,                0.93301,                0.51637,                0.87951,                 0.8031,                0.65557,                0.71721,                0.42685,                 1.1705,                0.62696,                0.93217,              0.0093161,              0.0093161,              0.0093161
                    105,                0.92909,                0.51374,                 0.8775,                0.80436,                0.65142,                0.70616,                0.41574,                 1.1611,                0.63691,                0.92976,              0.0093095,              0.0093095,              0.0093095
                    106,                0.93394,                0.51532,                0.87761,                0.82847,                0.63465,                0.70811,                0.42294,                 1.1666,                0.63244,                 0.9285,              0.0093028,              0.0093028,              0.0093028
                    107,                0.93079,                0.51242,                0.87858,                0.82002,                0.65201,                0.71156,                0.42447,                 1.1633,                0.63436,                0.93385,              0.0092962,              0.0092962,              0.0092962
                    108,                0.93117,                0.51465,                0.87776,                0.82061,                0.64386,                0.70343,                0.41933,                 1.1611,                0.63007,                0.93169,              0.0092895,              0.0092895,              0.0092895
                    109,                 0.9249,                0.51071,                 0.8757,                0.80935,                0.64381,                0.70693,                0.41945,                 1.1655,                0.62891,                0.92744,              0.0092829,              0.0092829,              0.0092829
                    110,                0.92861,                0.51013,                0.87566,                0.81599,                 0.6379,                0.71512,                0.42374,                 1.1537,                0.63036,                0.92983,              0.0092767,              0.0092767,              0.0092767
                    111,                0.92656,                0.51445,                 0.8765,                0.81487,                0.65217,                0.71743,                0.42414,                 1.1696,                0.63389,                0.93039,              0.0092701,              0.0092701,              0.0092701
                    112,                0.92107,                0.50999,                0.87517,                0.82547,                0.66346,                0.72002,                0.42982,                 1.1664,                0.62789,                0.93359,              0.0092635,              0.0092635,              0.0092635
                    113,                0.92484,                0.50917,                0.87511,                 0.8202,                0.64773,                0.71439,                0.42682,                   1.16,                0.62332,                0.93321,              0.0092568,              0.0092568,              0.0092568
                    114,                0.92832,                0.51188,                0.87771,                0.81448,                 0.6508,                0.71029,                0.42772,                 1.1546,                0.63553,                0.92814,              0.0092502,              0.0092502,              0.0092502
                    115,                0.92183,                0.50969,                0.87864,                 0.8253,                 0.6361,                 0.7216,                0.42787,                 1.1633,                0.62143,                0.93015,              0.0092436,              0.0092436,              0.0092436
                    116,                0.92898,                0.51378,                0.87796,                0.82707,                0.64084,                0.71633,                0.43195,                 1.1682,                  0.625,                0.93592,              0.0092374,              0.0092374,              0.0092374
